,mint,lon,lat
0,ilium,26.238889,39.9575
1,thebe,27.020171,39.597431
2,perinthus,27.952973,40.971013
3,cypsela,26.394999,40.930067
4,scepsis,26.688003,39.82554
5,cherronesus,33.493302,44.611627
6,topirus,24.773105,41.079556
7,orthagoreia_thrace,25.746293,40.854379
8,apros,27.1073556,40.9269409
9,coela,26.367552,40.207121
10,odessus,27.908595,43.212074
11,antandrus,26.791496,39.5785
12,gentinus,26.279146,39.876943
13,bizya,27.765289,41.572702
14,nicopolis_ad_nestum,23.815278,41.605833
15,calchedon,29.025789,40.983393
16,aenus,26.08478228345581,40.725137629304825
17,perperene,26.962332,39.240505
18,hamaxitus,26.09471,39.543605
19,viminacium,21.166605,44.716471
20,cabyle,26.478937,42.528151
21,callatis,28.58275,43.817152
22,trajanopolis_thrace,26.117731,40.867584
23,samothrace,25.526069,40.502559
24,zeleia,27.5972,40.203584
25,ophrynium,26.343963,40.035846
26,apollonia_ad_rhyndacum,28.677067,40.180504
27,hadrianothera,27.910653,39.60672
28,colone_troas,26.166435,39.677021
29,gergis,26.609255,39.898491
30,pergamum,27.183333,39.116667
31,teuthrania,27.054771,39.035223
32,elaeus,26.223326,40.054457
33,hadrianeia,28.634216,39.59133
34,adramyteum,26.9375178,39.4954983
35,germe,27.690683,39.36872
36,attaea,28.115927,39.515977
37,hadrianopolis_thrace,26.566667,41.666667
38,pitane,26.937453,38.928297
39,sigeum,26.184284,39.993701
40,scamandria,26.364872,39.83749
41,aegospotami,26.599366,40.331504
42,bisanthe,27.508023,40.978415
43,plotinopolis,26.499702,41.358625
44,pionia,27.579568,39.626196
45,cyzicus,27.892255,40.381323
46,skylake,28.388808,40.387037
47,zone,25.755818,40.848568
48,byzantium,28.976018,41.01224
49,gargara,26.538692,39.533479
50,gambrium,27.3204017,39.0910834
51,thymbra,26.25,39.75
52,dardanus,26.37442,40.079727
53,thasos,24.703702,40.777626
54,tomis,28.638299,44.173224
55,trierus,24.77,41.07
56,lysimachia,26.75081,40.548232
57,imbros,25.903047,40.233058
58,serdica,23.333333,42.7
59,philippopolis,24.749842,42.143739
60,hadriani_ad_olympum,28.998851,39.906135
61,apollonia_pontica,27.69646,42.417162
62,madytus,26.357002,40.186504
63,cardia,26.75081,40.548232
64,alexandreia_troas,26.152555,39.76128
65,came,27.925873,39.33536
66,birytis,26.356694,39.848778
67,harpagion,27.391984,40.334274
68,laodiceia_ad_lycum,29.136425,37.855246
69,larissa_troas,26.147559,39.615744
70,anchialus,27.641374,42.555937
71,maroneia,25.51912954421358,40.90636915640242
72,miletopolis,28.316486,40.083458
73,achilleion,26.188666,39.989747
74,antissa,26.020536,39.290364
75,smyrna,27.142778,38.423889
76,Paktye,26.780688,40.485384
77,sestus,26.417225,40.228356
78,priapus,27.303743,40.403338
79,abdera_thrace,24.983333,40.95
80,chersonesus_thrace,26.5,40.33333
81,neandria,26.270341,39.719741
82,rhoeteium,26.304805950000002,40.0095377
83,iolla,26.994,39.508
84,nicaea_bithynia,29.7195,40.429
85,marcianopolis,27.585033,43.22504
86,assus,26.339656,39.491621
87,cisthene,26.813175,39.393183
88,dicaea_thrace,25.165653,40.99287
89,atarneus,26.927974,39.093987
90,placia,28.27741,40.397648
91,crithote,26.651664,40.406725
92,alopeconnesus,26.232605,40.317559
93,agathopolis,27.939514,42.0994
94,myrina_lemni,25.06186,39.878652
95,lampsacus,26.699162,40.346685
96,lamponeia,26.421229,39.538105
97,poimanenum,27.892299,40.07897
98,istrus,28.774722,44.5475
99,nicopolis_ad_istrum,25.612232,43.217925
100,hephaestia,25.31712,39.96314
101,lemnos,25.25,39.916667
102,deultum,27.266667,42.4
103,dionysopolis_thrace,28.162771,43.42563
104,parium,27.069096,40.420499
105,proconnesus,27.55568,40.591686
106,cebren,26.563032,39.741803
107,tenedos,26.069085,39.8339
108,selymbria,28.247677,41.078496
109,mesembria,27.7181,42.660417
110,augusta_trajana,25.624922,42.42378
111,pautalia,22.688244,42.281134
112,abydus,26.406964,40.196017
113,antiocheia_cebren,26.563032,39.741803
